session_id,user_id,started_at,ended_at,duration_seconds,device_type,entry_page,campaign
sess_1,user_680,2024-02-06T04:52:16,2024-02-06T05:31:42,2366,mobile,explore,google
sess_2,user_138,2024-07-13T09:46:54,2024-07-13T10:24:50,2276,mobile,main/main/list,fb_ads
sess_3,user_583,2025-08-31T04:41:47,2025-08-31T07:22:11,9624,desktop,app/blog,organic
sess_4,user_122,2025-09-01T08:37:22,2025-09-01T09:22:51,2729,mobile,app/explore,organic
sess_5,user_17,2024-08-30T15:59:39,2024-08-30T18:25:17,8738,desktop,app/tags/category,fb_ads
sess_6,user_113,2025-02-20T22:29:37,2025-02-20T23:26:51,3434,mobile,wp-content,organic
sess_7,user_862,2024-01-25T01:11:44,2024-01-25T03:01:35,6591,desktop,category/tags/list,organic
sess_8,user_651,2024-11-28T00:22:56,2024-11-28T03:05:58,9782,mobile,posts/list,google
sess_9,user_218,2024-07-29T11:19:31,2024-07-29T14:03:24,9833,mobile,category,email
sess_10,user_91,2025-06-13T13:02:12,2025-06-13T15:32:12,9000,mobile,main/categories,organic
sess_11,user_796,2025-07-27T08:14:09,2025-07-27T08:25:34,685,tablet,category/app,
sess_12,user_972,2025-01-06T06:43:57,2025-01-06T09:35:24,10287,mobile,wp-content/categories,
sess_13,user_875,2025-04-28T09:55:29,2025-04-28T10:20:15,1486,mobile,categories/main,fb_ads
sess_14,user_75,2024-12-03T08:11:11,2024-12-03T10:36:43,8732,mobile,app/tags/list,email
sess_15,user_156,2025-02-10T00:12:42,2025-02-10T01:48:52,5770,mobile,categories/categories,email
sess_16,user_779,2024-02-27T01:40:29,2024-02-27T02:42:47,3738,mobile,list/list/categories,google
sess_17,user_997,2025-06-24T04:35:53,2025-06-24T07:00:42,8689,desktop,search/category,google
sess_18,user_457,2024-09-09T20:44:31,2024-09-09T23:34:01,10170,mobile,category,fb_ads
sess_19,user_114,2025-04-20T01:58:42,2025-04-20T02:34:30,2148,desktop,app,
sess_20,user_74,2024-05-16T16:28:47,2024-05-16T18:51:08,8541,desktop,app,
sess_21,user_673,2025-06-27T02:51:48,2025-06-27T05:08:25,8197,mobile,blog/category/explore,fb_ads
sess_22,user_690,2024-07-10T12:03:51,2024-07-10T14:01:09,7038,mobile,wp-content/list/app,
sess_23,user_174,2024-02-08T17:00:13,2024-02-08T17:13:08,775,mobile,search/main,google
sess_24,user_227,2025-04-08T21:16:03,2025-04-08T22:46:24,5421,mobile,blog/tag/blog,organic
sess_25,user_626,2025-05-31T20:38:22,2025-05-31T21:22:31,2649,mobile,tags/category/category,organic
sess_26,user_822,2025-02-03T19:28:26,2025-02-03T19:59:57,1891,desktop,categories/app,google
sess_27,user_776,2024-07-26T11:14:51,2024-07-26T11:21:51,420,desktop,blog/wp-content/category,google
sess_28,user_50,2025-07-07T22:37:24,2025-07-08T00:46:34,7750,mobile,blog/category/list,email
sess_29,user_783,2025-04-11T14:13:40,2025-04-11T14:57:16,2616,mobile,tags/category/wp-content,
sess_30,user_979,2024-12-18T09:48:31,2024-12-18T12:20:14,9103,mobile,explore/tag/categories,organic
sess_31,user_986,2024-02-10T02:19:31,2024-02-10T04:46:43,8832,mobile,app/posts/list,fb_ads
sess_32,user_519,2024-12-02T07:25:22,2024-12-02T09:13:47,6505,mobile,posts,organic
sess_33,user_825,2025-08-09T06:55:40,2025-08-09T08:24:31,5331,mobile,category,
sess_34,user_505,2024-03-16T03:40:59,2024-03-16T03:48:52,473,mobile,tags,google
sess_35,user_226,2024-03-06T11:07:47,2024-03-06T13:04:10,6983,desktop,app/wp-content,organic
sess_36,user_65,2024-03-15T07:16:59,2024-03-15T07:46:06,1747,desktop,wp-content/categories/list,
sess_37,user_887,2025-05-20T08:21:53,2025-05-20T11:12:15,10222,mobile,blog/explore,email
sess_38,user_894,2025-07-12T16:59:55,2025-07-12T17:35:47,2152,mobile,main/main/blog,organic
sess_39,user_624,2025-04-19T08:42:26,2025-04-19T09:53:57,4291,mobile,tags/tags,google
sess_40,user_431,2025-08-26T22:44:12,2025-08-26T23:43:54,3582,mobile,list/main/main,email
sess_41,user_98,2024-01-20T09:30:38,2024-01-20T10:32:01,3683,desktop,blog/category,
sess_42,user_381,2024-12-17T16:21:30,2024-12-17T18:19:18,7068,desktop,blog/app,organic
sess_43,user_368,2025-08-24T02:59:28,2025-08-24T04:43:15,6227,mobile,main/category,google
sess_44,user_889,2024-10-25T00:38:49,2024-10-25T01:48:21,4172,mobile,search,email
sess_45,user_833,2025-03-17T23:10:06,2025-03-18T01:37:32,8846,desktop,categories,
sess_46,user_468,2025-03-15T04:18:28,2025-03-15T06:35:20,8212,mobile,app/categories,fb_ads
sess_47,user_290,2025-08-05T05:56:04,2025-08-05T07:25:35,5371,desktop,tags/app/main,fb_ads
sess_48,user_98,2024-03-29T07:17:05,2024-03-29T10:06:17,10152,mobile,category/categories/app,email
sess_49,user_291,2025-08-09T14:53:57,2025-08-09T16:23:08,5351,mobile,app,google
sess_50,user_516,2024-11-20T18:54:44,2024-11-20T20:47:27,6763,mobile,wp-content/tag,fb_ads
sess_51,user_270,2024-02-08T05:26:22,2024-02-08T07:25:09,7127,mobile,category/main,google
sess_52,user_904,2024-01-28T20:52:15,2024-01-28T22:03:31,4276,mobile,blog/tag,fb_ads
sess_53,user_900,2024-02-24T17:00:51,2024-02-24T19:17:41,8210,desktop,tag,
sess_54,user_148,2025-05-14T14:12:49,2025-05-14T14:54:01,2472,desktop,categories/explore/categories,email
sess_55,user_625,2024-01-29T04:39:46,2024-01-29T05:38:24,3518,tablet,search/blog,fb_ads
sess_56,user_370,2024-07-04T21:43:13,2024-07-05T00:30:27,10034,mobile,search,organic
sess_57,user_627,2024-12-20T03:26:43,2024-12-20T04:21:03,3260,desktop,tags/main,google
sess_58,user_503,2024-12-02T17:10:03,2024-12-02T18:27:35,4652,desktop,tags,
sess_59,user_873,2025-08-12T23:17:23,2025-08-13T02:04:24,10021,mobile,search/category,
sess_60,user_998,2024-04-24T16:09:13,2024-04-24T18:51:34,9741,tablet,wp-content,
sess_61,user_341,2025-09-25T21:35:43,2025-09-25T23:15:26,5983,mobile,tag/blog/search,
sess_62,user_492,2025-04-16T04:29:03,2025-04-16T05:25:24,3381,mobile,app,organic
sess_63,user_531,2025-04-09T00:10:05,2025-04-09T01:49:27,5962,mobile,categories/app,
sess_64,user_638,2024-10-11T13:02:47,2024-10-11T15:18:13,8126,mobile,tag/main/main,fb_ads
sess_65,user_115,2025-03-17T07:19:54,2025-03-17T08:41:23,4889,tablet,main,
sess_66,user_908,2024-11-18T08:56:46,2024-11-18T09:12:41,955,tablet,tag/explore/app,organic
sess_67,user_558,2025-04-25T13:59:56,2025-04-25T15:49:00,6544,mobile,blog,
